16,1479.8,1441.1322,2.613042303,586,524.729,10.45580205
17,1436.1,1418.0972,1.253589583,566.9,534.17,5.773505027
18,1403.6,1383.0922,1.461085779,595.6,564.854,5.162189389
19,1407.1,1365.971,2.922962121,633,622.474,1.662875197
20,1060.3,1036.842,2.212392719,376,379.579,0.951861702
22,1028.6,1004.1023,2.381654676,534,433.576,18.80599251
25,1299.55,1278.7046,1.604047555,424.1,424.666,0.13345909
26,1384.05,1366.9314,1.23684838,363.2,360.324,0.79185022
27,1314.33,1271.6056,3.250660032,470,418.333,10.99297872
28,0,0,,0,0,0
29,1241.5,1228.3982,1.055320177,346,338.214,2.250289017
30,1277.4,1265.4994,0.931626742,341,354.847,4.060703812
31,1346.12,1307.363,2.879163819,299,342.488,14.54448161
33,1046.7,1039.418,0.695710328,289.1,452.156,56.40124524
34,1115.79,1109.6954,0.546213893,281.4,282.692,0.459132907
35,1061.7,1023.15636,3.630370161,522,544.492,4.308812261
36,1053.2,1011.12606,3.994867072,383,387.907,1.281201044
37,1102,1061.496,3.675499093,321,313.981,2.186604361
38,1075,1054.5935,1.89827907,323,309.607,4.146439628
39,1192.8,1190.4962,0.193142186,338.4,324.501,4.107269504
40,1300,1301.076,0.082769231,317,296.381,6.504416404
43,1355.1,1322.938,2.373404177,709,650.741,8.217066291
44,1412.8,1373.5056,2.781313703,548,539.127,1.619160584
45,1408.9,1367.163,2.962382,658,672.029,2.132066869
46,1380.8,1383.6106,0.203548667,608,603.712,0.705263158
47,1220,1203.2348,1.374196721,412,397.075,3.622572816
48,1258.7,1247.3478,0.901898784,283,353.42,24.88339223
49,1186.2,1175.6888,0.886123757,231.8,339.791,46.5880069
50,1156.5,1122.2084,2.965118893,305.8,355.774,16.34205363
51,1068,1169.5788,9.511123596,344,403.661,17.34331395
53,1051.1,1041.5362,0.909884883,827,668.002,19.22587666
55,979.7,951.82986,2.844762682,824,811.743,1.4875
57,999.5,966.30206,3.321454727,753,697.185,7.412350598
60,1475.3,1457.7482,1.189710567,534.9,498.436,6.816975136
61,1525,1502.7254,1.460629508,462,465.645,0.788961039
63,1394.66,1416.5812,1.571795276,584,568.353,2.679280822
64,1325,1302.1486,1.724633962,733,679.59,7.286493861
65,1538,1495.5658,2.759050715,522,452.547,13.30517241
67,1250.3,1189.957,4.826281693,775,732.076,5.538580645
70,1230.2,1260.7654,2.484587872,820.2,804,1.975128018
72,1491,1470.8704,1.350073776,607,526.104,13.32718287
73,1505.35,1456.2674,3.26054406,534,476.069,10.84850187
74,1289.7,1225.959,4.942312166,713,698.319,2.059046283
78,1220.2,1154.3438,5.397164399,412,444.386,7.860679612
79,1436.3,1426.0444,0.714029103,565,506.07,10.4300885
80,1236.33,1217.9626,1.485638948,394.4,378.125,4.126521298
