0.0541322,1167.07
0.162397,1176.08
0.270661,1171.95
0.378925,1173.22
0.48719,1173.89
0.595454,1176.28
0.703719,1205.78
0.811983,1183.55
0.920247,1130.95
1.02851,1167.21
1.13678,1187.49
1.24504,1190.74
1.35331,1200.97
1.46157,1189.04
1.56983,1149.38
1.6781,1158.59
1.78636,1178.37
1.89463,1169.8
2.00289,1172.26
2.11116,1174.42
2.21942,1167.02
2.32768,1171.53
2.43595,1193.09
2.54421,1181.76
2.65248,1169.23
2.76074,1172.57
2.86901,1193.18
2.97727,1173.98
3.08554,1174.12
3.1938,1184.78
3.30206,1192.25
3.41033,1181.43
3.51859,1160.43
3.62686,1170.26
3.73512,1166.52
3.84339,1182.54
3.95165,1180.77
4.05992,1171.62
4.16818,1194.1
4.27644,1171.22
4.38471,1178.3
4.49297,1151.17
4.60124,1161.34
4.7095,1191.74
4.81777,1177.26
4.92603,1173.65
5.0343,1170.94
5.14256,1176.85
5.25082,1176.18
5.35909,1177.57

