18,1400.425,1403.6,1391.7,5.822012825,,1120.34
 ,,,,,,
101.33,1407,298.15,1-hexyl-4-cyanopyridinium bis(trifluoromethylsulfonyl)imide,,,
101.325,1407.1,298.15,1-hexyl-4-cyanopyridinium bis(trifluoromethylsulfonyl)imide,,,
19,1407.05,1403.6,1407,,,1125.64
 ,,,,,,
101,1059.1,298.15,1-butyl-3-methylimidazolium dicyanamide,,,
101.325,1059,298.1,1-butyl-3-methylimidazolium dicyanamide,,,
101,1060.17,298.15,1-butyl-3-methylimidazolium dicyanamide,,,
101.325,1065,298.15,1-butyl-3-methylimidazolium dicyanamide,,,
101.325,1060.5,298.15,1-butyl-3-methylimidazolium dicyanamide,,,
101.325,1059.62,298.15,1-butyl-3-methylimidazolium dicyanamide,,,
101.325,1060.76,298.15,1-butyl-3-methylimidazolium dicyanamide,,,
101.325,1059.7,298.13,1-butyl-3-methylimidazolium dicyanamide,,,
101.325,1060.46,298.15,1-butyl-3-methylimidazolium dicyanamide,,,
101.325,1059.3,298.15,1-butyl-3-methylimidazolium dicyanamide,,,
101.325,1060.3,298.15,1-butyl-3-methylimidazolium dicyanamide,,,
101.325,1060.5,298.15,1-butyl-3-methylimidazolium dicyanamide,,,
20,1060.3675,1065,1059,1.576008335,,848.294
 ,,,,,,
101.325,1028.5,298.15,1-hexyl-3-methylimidazolium dicyanamide,,,
101,1028.6,298.15,1-hexyl-3-methylimidazolium dicyanamide,,,
101.325,1028.5,298.15,1-hexyl-3-methylimidazolium dicyanamide,,,
101.325,1028.9,298.15,1-hexyl-3-methylimidazolium dicyanamide,,,
22,1028.625,1028.9,1028.5,0.189296945,,822.9
 ,,,,,,
101.325,1014.5,298.15,1-butyl-1-methylpyrrolidinium dicyanamide,,,
101.325,1013,298.1,1-butyl-1-methylpyrrolidinium dicyanamide,,,
101.325,1013.49,298.15,1-butyl-1-methylpyrrolidinium dicyanamide,,,
101,1013.53,298.15,1-butyl-1-methylpyrrolidinium dicyanamide,,,
101.325,1013.4,298.15,1-butyl-1-methylpyrrolidinium dicyanamide,,,
101.325,1013.5,298.15,1-butyl-1-methylpyrrolidinium dicyanamide,,,
101.325,1013.4,298.15,1-butyl-1-methylpyrrolidinium dicyanamide,,,
24,1013.545714,1014.5,1013,0.457597244,,810.8365712
 ,,,,,,
101.325,1297.4,298.15,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
101.325,1292,298.1,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
101.325,1303.63,298.15,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
101.325,1298.3,298.15,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
101.325,1298.3,298.15,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
101,1299.55,298.15,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
101.325,1299.5,298.15,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
101.325,1296.7,298.15,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
101.325,1298,298.15,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
101.325,1297.6,298.15,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
101.325,1297.6,298.15,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
101.325,1297.6,298.15,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
101.325,1297.4,298.15,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
101.325,1299.63,298.15,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
