,P,Density,T,Name
142,101.325,1053.0,298.15,1-butyl-3-methylimidazolium acetate
143,101.325,1067.0,298.65,1-butyl-3-methylimidazolium thiocyanate
144,101.325,1214.0,298.15,1-butyl-3-methylimidazolium methylsulfate
149,101.325,1222.1,298.15,3-hexyl-1-methyl-1H-imidazolium bromide
150,101.325,1223.81,298.15,3-hexyl-1-methyl-1H-imidazolium bromide
151,101.325,1237.72,298.15,1-ethyl-3-methylimidazolium ethyl sulfate
152,101.325,1222.1,298.15,3-hexyl-1-methyl-1H-imidazolium bromide
153,101.325,1370.0,298.15,1-butyl-3-methylimidazolium tetrafluoroborate
154,101.325,1279.9,298.15,1-ethyl-3-methylimidazolium tetrafluoroborate
155,101.325,1279.9,298.15,1-ethyl-3-methylimidazolium tetrafluoroborate
156,101.325,1234.0,298.15,1-ethyl-3-methylimidazolium methanesulfonate
157,101.325,1027.0,298.15,1-ethyl-3-methylimidazolium acetate
158,101.325,1240.0,298.15,1-ethyl-3-methylimidazolium ethyl sulfate
159,101.325,1436.1,298.15,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
160,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
163,101.325,1371.99,298.15,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
169,101.325,1473.97,298.15,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide
171,101.325,1252.71,298.15,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate
172,101.325,1394.66,298.15,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
173,101.0,1209.23,298.15,ethylammonium nitrate
175,101.325,1148.4,298.15,1-ethyl-3-methylimidazolium diethylphosphate
176,101.325,1099.0,298.15,1-ethyl-3-methylimidazolium acetate
177,101.325,1339.4,298.15,"1-hexyl-2,4-dimethylpyridinium bis((trifluoromethyl)sulfonyl)amide"
178,101.325,1175.7,298.1,3-ethyl-1-methylimidazolium butyl sulfate
179,101.325,1238.3,298.1,1-ethyl-3-methylimidazolium ethyl sulfate
180,101.325,1129.6,298.1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate
181,101.325,1093.8,298.1,1-ethyl-3-methylimidazolium octyl sulfate
182,101.325,1145.4,298.1,1-hexyl-3-methylimidazolium tetrafluoroborate
183,101.325,1104.2,298.1,1-methyl-3-octylimidazolium tetrafluoroborate
184,101.325,1279.9,298.1,1-ethyl-3-methylimidazolium tetrafluoroborate
185,101.325,1201.2,298.1,1-butyl-3-methylimidazolium tetrafluoroborate
186,101.325,1014.5,298.15,1-butyl-1-methylpyrrolidinium dicyanamide
187,101.325,1046.18,298.15,1-butyl-3-methylimidazolium dibutyl phosphate
188,101.325,1125.96,298.15,"1,3-diethyl-1H-imidazol-3-ium diethyl phosphate"
189,101.325,1083.21,298.15,1-butyl-3-ethyl-1H-imidazol-3-ium diethyl phosphate
190,101.325,1252.6,298.15,"1,3-dimethylimidazolium dimethylphosphate"
191,101.325,1148.86,298.15,1-ethyl-3-methylimidazolium diethylphosphate
192,101.325,1212.3,298.15,1-butyl-3-methylimidazolium methylsulfate
193,101.325,1277.4,298.15,1-ethyl-3-methylimidazolium methylsulfate
194,101.325,1327.3,298.15,"1,3-dimethylimidazolium methylsulfate"
195,101.325,1212.3,298.15,1-butyl-3-methylimidazolium methylsulfate
196,101.325,1277.4,298.15,1-ethyl-3-methylimidazolium methylsulfate
197,101.325,1327.3,298.15,"1,3-dimethylimidazolium methylsulfate"
198,101.325,1240.2,298.15,1-ethyl-3-methylimidazolium ethyl sulfate
199,101.325,1237.5,298.15,1-ethyl-3-methylimidazolium ethyl sulfate
200,101.325,1237.5,298.15,1-ethyl-3-methylimidazolium ethyl sulfate
201,101.325,1327.0,298.15,"1,3-dimethylimidazolium methylsulfate"
202,101.325,1293.7,298.15,1-hexyl-3-methylimidazolium hexafluorophosphate
203,101.325,1235.7,298.15,1-octyl-3-methylimidazolium hexafluorophosphate
204,101.325,1367.3,298.15,1-butyl-3-methylimidazolium hexafluorophosphate
205,101.325,1327.2,298.15,"1,3-dimethylimidazolium methylsulfate"
206,101.325,1293.7,298.15,1-hexyl-3-methylimidazolium hexafluorophosphate
207,101.325,1327.2,298.15,"1,3-dimethylimidazolium methylsulfate"
208,101.325,1367.3,298.15,1-butyl-3-methylimidazolium hexafluorophosphate
209,101.325,1235.7,298.15,1-octyl-3-methylimidazolium hexafluorophosphate
210,101.325,1367.3,298.15,1-butyl-3-methylimidazolium hexafluorophosphate
211,101.325,1235.7,298.15,1-octyl-3-methylimidazolium hexafluorophosphate
212,101.325,1293.7,298.15,1-hexyl-3-methylimidazolium hexafluorophosphate
213,101.325,1170.0,298.15,tetrapropylammonium bromide
229,101.325,1120.0,298.15,1-octyl-3-methylimidazolium trifluoromethanesulfonate
230,101.325,1310.0,298.15,1-octyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
231,101.325,1350.0,298.15,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide
232,101.325,1000.0,298.15,3-methyl-1-octylimidazolium dicyanamide
233,101.325,1330.0,298.15,1-methyl-3-octylimidazolium perfluorobutanesulfonate
234,101.325,1170.0,298.15,1-butyl-4-methylpyridinium trifluoromethanesulfonate
235,101.325,975.6,298.15,1-butyl-1-methylpyrrolidinium tetracyanoborate
237,101.325,1694.3,298.15,"1H-imidazolium, 1-butyl-3-methyl-, (OC-6-11)-hexafluoroantimonate(1-)"
238,101.325,1387.1,298.15,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
239,101.325,1239.0,298.15,1-octyl-3-methylimidazolium hexafluorophosphate
