0.0508232,1376.96
0.15247,1393.73
0.254116,1419.13
0.355762,1395.12
0.457409,1351.55
0.559055,1397.28
0.660702,1485.93
0.762348,1501.43
0.863995,1439.05
0.965641,1377.22
1.06729,1350.92
1.16893,1381.92
1.27058,1426.23
1.37223,1430.78
1.47387,1399.32
1.57552,1414.69
1.67717,1388.32
1.77881,1338.21
1.88046,1398.54
1.98211,1474.4
2.08375,1467.09
2.1854,1379.18
2.28704,1384.83
2.38869,1444.04
2.49034,1481.69
2.59198,1475.31
2.69363,1464.84
2.79528,1464.93
2.89692,1488.09
2.99857,1410.33
3.10022,1285.62
3.20186,1268
3.30351,1409.32
3.40515,1502.88
3.5068,1507.08
3.60845,1472.76
3.71009,1435.06
3.81174,1392.13
3.91339,1338.91
4.01503,1318.46
4.11668,1405.24
4.21833,1523.56
4.31997,1533.22
4.42162,1435.42
4.52327,1363.53
4.62491,1362.93
4.72656,1368.04
4.8282,1452.38
4.92985,1487.76
5.0315,1443.29
