Name,,ID,,ExpDens,ExpStdDens,CalDens,CalDens2,CalDens3,AvgDens,CalStdDens,,ExpCpt,ExpStdCpt,CalCpt,CalCpt2,CalCpt3,AvgCpt,CalStdCpt
"N,N-dibutyl-N-methyl-1-butanaminium 2-aminoethanesulfonate",,53,,1051.1,0,1041.5362,1041.58876,1042.652,1041.925653,0.629583393,,827,0,668.002,684.74,646.767,666.503,19.03082849
"N,N-dibutyl-N-methyl-1-butanaminium L-threoninate",,57,,999.5,0,966.30206,968.7091,966.991,967.3340533,1.239646959,,753,0,697.185,699.171,761.707,719.3543333,36.69192458
1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,60,,1474.58,0.55,1457.7482,1458.791,1458.592,1458.377067,0.55362913,,511.95,0,498.436,500.592,481.919,493.649,10.2155156
1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,61,,1518.628,1.66,1502.7254,1502.1374,1502.434,1502.432267,0.294003832,,506.1,21.08,465.645,460.344,457.452,461.147,4.15510758
1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,62,,1371.097,2.61,1353.486,1352.4026,1352.349,1352.745867,0.641534296,,629.52,19.344,630.078,599.61,580.51,603.3993333,25.00031882
1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,63,,1394.794,0.71,1416.5812,1414.1082,1412.996,1414.5618,1.835137455,,601.75,20.53,568.353,554.867,568.426,563.882,7.807304336
1-octyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,64,,1320.201,2.84,1302.1486,1300.1534,1301.198,1301.166667,0.997968984,,692.4,39.54,679.59,685.969,663.335,676.298,11.67057998
1-ethylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,65,,1535.552,2.18,1495.5658,1495.5386,1496.169,1495.7578,0.356369247,,522,0,452.547,436.27,461.129,449.982,12.62643612
triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,,67,,1250.247,0.98,1189.957,1191.599,1190.473,1190.676333,0.839672158,,755,0,732.076,774.433,776.824,761.111,25.17345107
1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,,70,,1237.45,0,1260.7654,1260.9224,1260.188,1260.625267,0.386734862,,820.2,0,804,743.459,753.44,766.9663333,32.45804123
1-benzyl-3-methyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,,72,,1492,0,1470.8704,1470.166,1469.764,1470.2668,0.560045284,,604.75,3.86,526.104,542.831,562.384,543.773,18.15833481
1-ethyl-2-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,73,,1505.53,0,1456.2674,1456.2322,1455.406,1455.968533,0.487485972,,534,0,476.069,504.928,470.359,483.7853333,18.53133266
triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide,,74,,1287.19,5.57,1225.959,1226.6262,1224.7114,1225.765533,0.971949985,,713,0,698.319,693.068,673.94,688.4423333,12.83088089
"1,2-diethylpyridinium ethylsulfate",,78,,1219.73,0,1154.3438,1153.3646,1154.021,1153.9098,0.498981202,,412,0,444.386,470.02,452.362,455.5893333,13.11820298
1-isobutyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]amide,,79,,1436.3,0,1426.0444,1427.207,1424.485,1425.912133,1.365811793,,565,0,506.07,505.531,514.531,508.7106667,5.04775597
1-ethyl-3-methylimidazolium ethyl sulfate,,80,,1237.399231,2.17,1217.9626,1217.2006,1217.74,1217.6344,0.391822051,,388,6.78,378.125,380.796,386.825,381.9153333,4.456700611
